review_features,hotel_score
The house is in a fantastic location within 5 minutes walk to the centre of Ypres. It has every little extra you can think of including beer in the fridge which was so appreciated after a long drive. Everybody was spotlessly clean and comfortable. Although we loved the quirky stairs for two flights of stairs which werent s problem for us elderly or infirm people may struggle here. All in all a fabulous little house and we would definitely stay here again if we visited Ypres again. Thank you Bernard and Maria.   ,10
Very easy. I was given the code to access the keys and had no problems Very steep narrow steps to two floors. Dangerous for young children,9.2
The location is perfect! 5 min walking to the Mein Gate nice restaurants around. The house is cozy LOT of stairs but very nice and comfortable. Check in a little bit earlier would be nice,9.6
Fabulous location 5 minute walk to the town centre amenities and historical sites.. Property was pretty much perfect well organised fabulously clean and very comfortable for our family of 4 No negatives at all,10
It was clean and very central and the welcome treats were a lovely touch.  The cottage was perfectly functional and nicely decorated. There werent enough sheets for the bed settee so had to use blankets out of the cupboard.,10
There was airconditioning in the room  And everything else was great! Will book again in the future! The timing for the breakfast. if you where 30min late Is was a big issue for the staff..,8
The hotel is in the centre of Hasselt walking distance to the nice area of restaurants and bars Hasselt has a great atmosphere. The hotel is good and a nice place to stay for the night. The parking costs $ 19 but if you drive to the streets in the area you should be able to find a spot at least in my case it was quite easy. Just bear in mind that you need to either leave before 9 or pay in the machine the charge for the next morning until the time you stay otherwise you could be fined.,9.6
Friendly staff nice hotel good breakfast  ,8
Breakfast was very good! The location of the hotel is near the parking which is comfortable. Easy to get to the center of the city. The room was clean and looked great. Staff is terrific. Cant remember any problem there.,10
Staff super friendly and helpful. Modern feel in the lobby & eating area. bed was quite comfortable but found the room pretty basic. There was small sitting area and tv with limited channels. Continental breakfast was included and contrary to other hotels you could still had good selection later in the day! getting to the parking was really a hassle. Although it was just steps away from the hotel we had to take the small ring and do a full 360 to get to in. There are 2 entrances and the one in front of the Holiday Inn is super tight fit. We had to inch our way in. And be careful there are 2 holiday inns in the same area : holiday inn and holiday inn express.,7
 Sofa bed was not made up on arrival (although the lovely receptionist solved this quickly for us) and that bed was very uncomfortable. Kept banging legs on the metal outer structure which was above the height of the thin mattress. Not what I would expect for £130/night.,7.5
We booked for the Holiday Inn Express. Due to Corona this hotel is closed and the reservation is changed to the Holiday Inn a few meters further down the road. The Holiday Inn normally is much more expensive so that was a great upgrade. Due to Corona we were obliged to have breakfast at exactly 11h00. The only other option was to get a breakfast kit and eat it somewhere else. This is totally unexceptable when you have a whole day planned ahead of you and hope to have a good breakfast at the hotel!,7
personal should be more cleanbreakfast ,7.9
The staff was super friendly and accommodating all precaution measures related to the pandemic were perfectly put in place. I didnt need the drilling sounds of the works in the lobby before 8am.,8
 Rooms noisy. Could overhear the neighbor on the phone and follow complete conversation.Breakfast too standard and cheap,6.7
Good central location parking in front of hotel very practical room and bathroom.  Breakfast ok but still influenced by corona measures.,8
Great location. Friendly helpful welcoming and accommodating staff with good customer service plus they all speaks in English. The best breakfast buffet. Especially thanks to Ms. NINA so kind and approachable. I think its just the A/C in our room. But i just have noticed a day before i left so i didnt have much time to report it. but somehow it was cooling properly at first.,10
We get upgraded to the new rooms and their very trendy and cozy. Liked the Croissants..:) A/C was not activated yet so no climate system.,9
The location is perfect the comfort is ok the breakfast was top (the best taking in count covid19 rules) All was good,9
Good value place to stay. Beds comfy. Clean. Staff friendly and helpful. Nearby underground parking cost 2 euros per hour (1 euro per hr evening) up to maximum 16 euros within 24 hrs. Discovered what other reviewers meant when they said it was hard to find this place due to one way system.  There were 3 of us in car navigating using both car Satnav and google maps on phone but stymied by ongoing roadwork disruptions.   In the end we ditched the car somewhere near enough to hotel and walked got map & instructions from hotel staff about how to find the underground parking.  Thankfully didnt get parking ticket meantime. Could do with some better access instructions when booking.,9.2
Great location nearby to central railway station and easy connection to E313 highway. Decent room all needed facilities in place nice personnel.  Hasselt city center is very nearby. ,10
Because we had to leave early in the morning 530  I asked because i paid for it to take it with mee and they didnt so i paid fore nothimg nreakfast i would like it back . Regards ,7
it was near the city and the receptionist is very attentive to what you asked her. Breakfast was superb. i didnt like the bed. it was 2 bed become 1  when i specifically put one bed in the app.,10
Cleanliness. Staff. Breakfast. No parking,8
The breakfast was good. A plus would be if during the coronacrisis the breakfast was brought to the room. The room was very hot inside and when you slept with the window open there was alot of noise from the street.,9
Friendly staffs. The location restaurants/cafes are on walking distance. Nice (buffet) breakfast worth the price. Good matras to sleep on. Ik heb goed geslapen! Hard to find parking. The toilets in the lobby werent the clean. There was a bit mold on our shower door.,8
Good location Not so clean there were spider webs in the corners of the room. There was also the food smell in the morning even though we were on the third floor. ,7
The room was great and exceeded my expectations the breakfast was great too. The only qualm I have is that when I forgot to reserve a time for breakfast the personnel didnt put in much effort to find a solution. We were happy to sit outside but they said its impossible to set it up. How difficult can it be to wipe a table? I was alone with two kids and really would have appreciated a little more forthcoming in this situation.,9
Breakfast was good. Good location. Family friendly.. The rooms are little bit small but its ok for a business hotel..,10
The rooms are functional and have everything one needs. The staff is very friendly and the location (between cathedral and yacht harbour) great to explore Hasselt. The breakfast was good but not great and not fully Corona proof (cutlery in one big box for everyone to grab one. Fruit salad was taken by everyone using the same spoon). ,8
The breakfast was good and care was taken with regard to hygiene (wrapped food requests to wear face masks at the buffet spaced out tables). The room was a fair size and comfortable - just what one needs for a short stay and comfort. Very well located near the canal just a stones throw from the city centre with its shops and restaurants with easy access to some large and safe underground parking lots. ,8
Overall good stay though there were some dogs barking which was annoying. As some guests had checked in with their pets ,10
Property itself was OK with good value for money. Overall we didnt spend too much time in the hotel as we arrived late at night immediately went to bed and left directly in the morning. The staff during check-in (John) was very unfriendly sometimes even arrogant. He spoke to us in a highly unprofessional matter (ha thats no proof everyone can show me something like that! when he couldnt find our booking in the system and I showed him the booking confirmation). He also addressed us inappropriately (e.g. Menneke). We really didnt feel welcomed at the property.,5
space 2 double beds couldnt get it warmer then 18 degrees. evening after eating entered . was 16 only ! whole hotel cold. in swimming pool. in restaurant in morning also not too warm.,6
Great location Very friendly and helpful staff The bed was extremely comfortable The room was very clean  The swimming pool needs renovation and was too cold The breakfast was simple (maybe due to COVID-19 restrictions) The room was too hot because of the fact that the air conditioning wasnt working how it should be. ,8
Location A bit run down as a hotel with very expensive parking.,5
The hotel looks very fresh.  Everything is new and clean.  The staff are very welcoming and friendly.  I will definitely come back here ,10
Good Location comfortable pillows fair breakfast and friendly staff. Bathroom smells and facilities ,5.8
Very nice and helpful staff both at the reception and at the restaurant.Comfortable family room. Great pillows.Amazing breakfast.  On 2nd floor in family room its nice to have curtains on a bathtub. Friends on 3rd floor had newer bathroom.But that hasnt changed our preception of a great stay.,10
We enjoyed the friendliness of the staff. Enough choice with the breakfast sadly due to the corona measures not been able just to sit and enjoy the breakfast. Room was lovely. And the hotel was execellent located : near the shopping street :) The airco in the room wasnt sufficient for us it didnt cool down as it should do. And it would be nice to have 2 chairs in the room instead of 1.,9
Very well organized and very friendly Nothing,9
Everything Nothing everything was perfect,10
Room was good. Good variety at breakfast also good brasserie (service was also good). Child-friendly hotel (jumping castle in one of the conference rooms brasserie lounge area provided kids toys).  Check in/out was prompt. Hotel very close to shopping streets (pre) and good restaurants(Het MagazijnCjan Orangerie). Free parking around the marina area otherwise underground parking across the hotel. Prompt service when there was an issue with one of the beds. Room was above the breakfast area so when they start the morning service theres sounds of doors opening/closing furniture moved about.,9.6
Friendly staff. Very clean. Perfect location. The pool was freezing. Could have been a few degrees warmer.,10
Clean hotel and helpful staff- good location Everything was just great,10
It was very calm and beautiful. The pool was very nice too unfortunately the sauna was closed because of the Covid-19. But i enjoyed every moment in the hotel. The television had a HDMI port but it didnt work. I had to some things with my computer and i needed a bigger screen for it but it isnt such a big deal.,7
The staff is extremely friendly. Really extremely friendly. We found a sweater from someone else in our room.. That makes us questioning how good the room was cleaned but hey everybody makes a mistake from time to time,8
Suitable for families as there are swimming pool fitness and sauna.  The families rooms a little bit small,7.5
The waffles were great! The hot breakfast choice was somewhat limited,10
confortable beds good and various breakfast good location the restaurant has a very good and fresh food.  The mini bar is empty you have to fill it from reception. The furniture needs an update. We handnt bathrobe to use for swimingpool not even towels. ,7.1
Service personal is superkind and great !  Great people ! ,9.2
Staff was very helpful and friendly! We liked the pool this was big enough for kids to play and adults to swim. The breakfast and dinner were nice and tasty. Clean room. Extra towels for pool. Big size dispensers for shampoo and soap (ecofriendly). Parking right under lobby. Very cold changing room for pool.  The food order was incorrect for 1 person but all was tasty. They did not accept paper consumptiecheques that are specifically made for hotels and recreational businesses. No free or discount for parking.,8
great breakfast wifi comfortable room excellent location air conditioning was broken :-( during superhot week at beginning of August pool facilities were messy at the end of the day,8.8
breakfast was excellent and staff were really friendly rooms could do with a update. walls felt damp and sticky in our room room was more expensive than usual because of the festival.,7.1
Very comfortable bed. The kids like the swimming pool very much. Although it is small but its enough for the kids. It does not has the free packing,8.3
Nice renovation Dutch receptionist in a Flemish city. She wasnt able to help French guests.,7
The employees were always helpful and could be contacted 24/7. Place of the hotel is also very handy between both water and the busy shopping street. The parking lot was quite pricey but on the other hand it was handy having direct access to it. Overall definitely a great visit and I can only recommend it.  As a small critic point maybe one or two drinks (even just water) could have been included in the mini bar within the room. Also a discount on the parking lot if possible for people that have visited the hotel. ,9
The personnel was very kind ans professional ans the hotel is very good. If i come back to Hasselt i know where to sleep. Bravo ,8
Nice breakfast spacious room for family of four. Swimming pool and sauna. Close to city center Rooms are a bit outdated and needs renovation.   The health and leisure was not clean..,8
Staff were very helpful Trays left outside the room werent taken away until the next day.. causing the corridor to be rather smelly. No glasses in the roomRoom was very hot and cooling system didnt help much. No room service  had to pick up meals from downstairs. ,8
Good size of the beds Very shaby funiture and bathroom in the morning the personnel was extraordinaryly slow,5.4
The breakfast was good however there were no hot meals (omelet or bacon or sausages) because of Covid. For the rest it was rich enough and tasteful. The bread variety was high and the coffee was good enough. The room was not very clean and there was not enough toilet paper and no free parking although there is a cooperation with the parking nearby we would like to get a kind of promotional price as customers of the hotel.,8
Everything was great. Food was great both at the hotel restaurant and breakfast with room-service (price-included). Ventilation in the room was helpfull during hot summer night. Swimming pool elevator straight from underground parking etc. It was a pleasure. More channels on room TV? Nothing else comes to mind..,10
 Room was very cold. Temperature setup was not working,6.7
Nice comfortable clean hotel with friendly service and a good breakfast and restaurant ,9.2
Very good location big rooms and a very comfortable bed. The room was way too warm and could not get cooler despite the airco and the opened windows. Value for money could be better in general.,6
Really nice breakfast nice to have the swimming pool open even during the corona time Swimming pool was somewhat dirty and quite dark we had to wait an additional 30 minutes upon arriving before our room was ready,9
That it was in the middle of the shopping area so I could easely drop off my stuff and go back out to shop some more. The staff were very friendly and they offered service safely with acordance of the coronavirus guidlines wich is hard to do. So I apreciated that. The room was too hot at night I figured out I could change the temerature in the middle of the night and turned on the airconditioner. But it made a lot of noise and was slow to work. So the first part of the night I was hot and it was noisy. And the second part (afther I woke up later) it was cold and quite.,9
Everything was clean new cute and the staff amazing. We loved. The only point is that is not that close to the beach but its close to the market and so nice. We had a wonderful time and look forward to come back! (They were so nice to let our pug to stay with us) ,10
The location was top we stayed at a bungalow with 2 little kids. The bungalow was small but cute. Each room had its own shower & toilet which was a big plus. We stayed in March the weather didnt allow us to enjoy the terras & the garden. I think in the summer its a great place for families to stay. The play ground for the kids is small,9
A perfect stay - great modern cottages well equiped super clean quiet surroundings. A short bicycle ride away from the city center and the beach.  Loved having a terrace with table and chairs and a even a small garden with comfy sofa. Everything is very well thought of. The tetritory of the cottage could use a little fence from the camping road - it would stop toddlers from running off :),9.6
The accommodation was of a high standard and the staff have done a great job with cleanliness of the facilities. Breakfast was served in the room and had something for all tastes. ,9
Great value for money good location near the Sportoases and train station but city center is also very near. Its 20 minutes nice walk to the beach ,9
The site is good friendly people and the site is in an excellent position for the train station tram line and not to far from the beach. The mattress was not comfortable at all.,8.3
Good breakfast fresh coffee which was delivered at the time as we liked to have it in the morning. 2 Bathrooms bed was good too 2 showers hot water and good heating. Weather was OK. There was only local television. No international channels for example no news in English or German. Price for a longer stay too high more than 200 dollar or swiss franks per night. Otherwise good value.,8
Two isolated bedrooms with own baths.Nicely equipped kitchen. No airco price is a bit expensive ,9.2
Cottage was clean warm and comfortable. Breakfast brought to door at 9 am it was very tasty.  ,8.8
Great cottage very cleandelicious breakfast wonderful service great location  ,8
The reception was difficult as it was not staffed on arrival or departure. Some one to speak to.,9.2
The bungalows are very cosy neat and well maintained. It has everything you need. Usually these sorts of places are worn down and they tend to disappoint but this place is excellent! Cant think of anything..,9
Breakfast is very good: a lot of choice (bread viennoiseries juice fruits..) brought at your door according to the time you have requested The camping site is not very nice and along the road but there was no noise. The bungalow itself was very nice,9
Very clean calm green very helpful staff/owners at the reception with a cosy playground for all ages. Walking distance from the centre of Knokke and the railways station. Bikes for rent available. ,9.6
perfect location next to the main trainstation. Staff is friendly and helpful. Got a bigger room than booked and had a good sleep. Everything is basic as to be expected at a hostel but well organised clean and quiet. all good.,9
Breakfast was great the location is fantastic when coming with the train and you can walk into the centre pretty quickly. Extremely nice staff very helpful! The rooms could be a bit more cozy concerning the decoration etc. But that is just an extra after all it is a hostel so a clean sleeping place is great! Also good thing was that the bathroom and shower were separate but still in the room so no weird through the hallway walking for a shower. Very nice! The matresses were indeed a bit hard but I dont think its a big deal since this is a hostel which was great good price in comparison to others and it was very clean. A bit more decoration could be nice as the rooms were a bit cold but that is just a very small thing.,8
breakfast was good. The location is really good. ,7.9
Everything was like we expected it to be. Basic but clean. Great location nearby the city centre. The staff is also available for every question you have. ,8.8
Close to the train station decent beds There is no kitchen or microwave you could use. Which is a bit shame for a hostel. And WiFi was only in common areas and not in the rooms,7.5
The staff does all to please there gasts. There is enough choice for the breakfast.  the rooms are big and it is nice that the toilet and shower is on the room and not in the corridor. ,8.8
Decent hostel next to the train station with all the basic amenities you would expect from a hostel. Rooms have space and hangers to put your stuff. Same with bathroom. There are recycling bins. Kitchen seems to be lacking. The check-in took quite long. I stood there about 15 minutes waiting for the two people in front of me and this is not the first time. I would really recommend some automatic/self check-in system. People should just get their keys upon arrival. There is nothing complicated in the hostel.,8.3
Close to the train station and comfortable stay. Breakfast is great too! ,9.6
Extremely helpful staff despite my flight was delayed and would not make it for check in on time they offered me an alternative and saved my trip. They had anything necesary for a comfortable stay and nice and varied common areas to relax and work. The matress was the worst part enough for a couple of nights and only one working socked in the room to charge things despite being for 6 people..,9.2
Great location! I forgot how things work in hostels (making my bed by myself no toiletries or towels in the room except for toilet paper) but thats my problem. I paid more for a private room than I would have in a 1-star hotel with all the usual service but there was no choice at the time of booking.,7.5
It was near the train station. I recommend to those that love to talk and sher the roum ) The handkercheefs missing near the sink also the soap was innexistent/missing. Also it was good a garbedge in the room not only in the bath ),9.6
Showed in the bedroom is really good. The common area close after 23:00. No place to have a seat to do some leisure stuff. And the WiFi signal is only at the common area.  The signal at bedroom area is very weak.,8.3
Friendly staff. Beds are not jerky. Location is excellent.  No free parking in the Hostel,9.6
Cosy warm regular hostel breakfast  The showers are private but you dont have a flow regulator,9.2
the room is nice. it exceeds my expectation regarding to the cleanliness.  the staff is so nice.  they helped me a lot. the hostel also provides the breakfast breakfast is also good under this cost. the location just behind the train station and bus station just 1 or 2 mins walk. check in and check out time is limited from 3pm and 10am if you come early you have to wait until 3pm,8.3
Great location helpful staff good free breakfast. Dont miss the Friday market. That we cant bring pizza to enjoy in the courtyard.,8.3
Very friendly and helpful stuff no soap or anything else in the bathrooms. Breakfast was ok but quite basic.,7.9
I like the Staff which is very happening and welcoming. I like the Services provided by the staff members. There is no Wi-Fi available in the rooms due to which we have to face a lot of trouble to come down for a single call or video chats with our family. Even If we have to check mail or access internet we have to go downstairs.,7.9
The room was fine and we really appreciated the staff member letting us check in after hours. We were a group of 7 and were only provided with limited swipe cards for the out of hours entrance/back door. To top it off a couple of the swipe cards we were given didnt even work leaving people in our group stranded outside (women alone at different times) in the middle of the night not the safest.,6.7
Nice breakfast and clean room. Spacious room (2 persons) such we even could stall our bicycles in it.  Bed comfort typical and same in every youth hostel. I dont like the plastic mattress but was know in advance :-),8
Garden! Internet is not work really nice:(,9.6
The location of this hostel is very good close to the city center close to train stations etc. The (double) room we received was very large and so was the bathroom. At checkin we received free linens which took only a few minutes to install. Towels are not free (the rent price was low though). Breakfast wasnt very varied but it was ok. The most pleasant surprise was at checkout which we had specified to be very early in the morning. The evening before they offered us breakfast to-go (each got a paper bag with mostly the same items that you get at regular breakfast). We appreciated this very much. ,9.2
My stay was excellent. The staff is great and helpful. Its comfortable and clean with a good mix of people. They also provide big lockers to ensure the safety of your valuables which is a big plus for me. The location is quite convenient too- the brussels central station is just about a few minutes walk. Lovely decor! ,9.6
There was a very large selection  for breakfast .. realy! even waffles not like in a hostel 5 minutes to the biggest attractions very modest room unused space lined with oilcloth in the bathrooms you can see the time - unwashed tiles and a down yellow shower curtain.,7.5
The breakfast was good excellent room. No towels provided no saop and no champo.,9.2
Centrally located to most brussels attractions the 2 single beds room is huge and comfy ,10
 near a very dangerous area of the city and the receptionist is incredibly rude! dont even think about taking your phone out to ask directions because hell flip out for some bizzare reason. not worth your money!!,2.9
Very comfortable and staff very kind location is perfect . This hostel doesnt have shampoo or soap.,9
The hostel have amazing quality the breakfast was  amazing they also provided flavor water with fresh fruit in the reception Nothing,10
Very nice and accommodating staff and very fluent in multiple languages which was great for me and my girlfriend! ,10
 wifi was not working at all during our stay,8.3
Very nice friendly staff beside the hostel location is really central and on can walk to most of the city attractions ,10
I like breakfast. Toilets and shower room are disaster. Water was everywhere.,7
Spacious room. Clean accommodation. There were attempts to make breakfast interesting. Staff was friendly and helpful. Nothing stands out though a fridge for guests to use would be perfect.,8.8
Basically in the center of the city - I recommend this hostel if you want to make short 1 day trips to Brugge or Gent as its very close to Brussel Central train station.Friendly staff good bar with a wide variety of beers.Extra points for the bartender ).Cozy spaces for chill small lounges at every floor and a big one near the reception Shower is a bit weird but ok :)Breakfast could be much better - better if you can include some meat too,8.3
price place. if you need one night stand you can survive this its a bit dirty. bed and mattress covered in strange plastic. breakfast is pretty bad,7.1
Location is good 10 mins walk from Brussels central but the entrance is bit pain as you need to detour around building.Breakfast is ok but no meat at all(hamsausages) Shower room is annoying You have to constantly press the button to keep water runningI understand this is to save water but at least make it longerTherere no sign or anything say which way is toilet or shower room,6.7
Good location friendly staff. I was here allready in summer time and it was nice to come back. Maybe a little more offer for breakfast.,8
The room is cozy and comfortable staffs are helpful and the location is great. The water of shower is really cold. 1 Euro is needed to use lockers in the room but it will be returned afterwards.,9.6
They had a very spacious double room. Location was perfect pretty accessible to the city center. There was a safe deposit for your valuables in the room. The bed had stains on the sheets. The bathroom had no drain so every time we showered there would be puddles on the floor til it basically evaporated on its own. Just your average breakfast of toast jams and eggs. Lady staff was quite obnoxious.,6.7
Large room good lockers coin operated friendly staff lots of older travellers. No soap in the bathroom and no handbasin in the separate shared toilet. Very noisy no double glazing or air conditioning. Nowhere to prepare food nowhere to store food. Beds and pillows with plastic covers. No sanitary bins in the bathroom.,7.5
Amazing location. Had a big room with a bathroom very basic but functional. Friendly and helpful staff. A small bar in the cellar and inner yard as well. Ok breakfast nothing special but as expected. Overall great value for money! Basic single beds were not too comfortable and furniture a bit shabby.,9.2
Top Location and very friendly. Theyve been preparing a lunch package because I had to leave early. ,10
Clean rooms young and friendly atmosphere nice personnel at the reception. ,10
Hostel not too far from train station. Good staff even I check in at 1am. Bed was soft. Its always lound. I always heard people walking around close the door and open the door whole night. I cant even sleep. Shower room and toilet at my floor are broken cant use it.,7.9
People  - staff  :) really nice and helpfull! Too loud. Not so clean. Shower were broken (3 showers two broken one mens oki) on the one floor! (a lot of rooms),6.7
The hostel was 10 minutes walking from Brussels Central. Breakfast was very good and there was variety. Friendly service. There was also a room where you could leave your luggage and pick them later. Sheets could be cleaner.,9.6
Staff were more than expected very helpful and cheering special thanks to Doppy and the reception lady unfortunately i dont know her name to thank her  There is no shared kitchen no gathering time ,8.3
Well-locatedCleanGood Breakfast Towels excluded,10
The room is clean all facilities are great. Good value for money Just the church bell rang so loud in the morning. It woke me up around 6 am,8.3
everythings website should tell how to get to hostel via smooth road to roll the baggage,9.6
I was traveling alone but I became friends with girls from my dorm thanks to the hostel !  The personnel were super sweet. Plus the bed were really confortable we had lockers for our stuff. It was great ! ,9
The location was prime really easy to get around and the staff were really friendly! Would definitely stay here again.  There was a little smell in our room during our first night but it went away as soon as we had the windows open. ,9.2
Breakfast is surprisingly good nice variety of cheeses. Wifi is simply to establish and rooms are nice and clean. Pillow was not very comfortable to sleep on,8
Close to the city center. Very kind and funny receptionist. There was no meat for breakfast.,10
Good breakfast and location. There was often no soap in the soap dispensers.,7.9
Room was clean good breakfast location and bar No hot water in every morning and staff said that we need to wait but it was still cold after an hour.,8.8
Tasty breakfast nice clean rooms and helpful service. ,9
It was good. Cool hostel to spend the night and carry on. The breakfast was cool and the accommodations good. Nice location too. RAS,7.9
The breakfast was good for a hostel We have to arrange our own beds the restroom was not really clean during my stay. It could be better for the price ,7.1
Really nice breakfast and its location is really good! Only 2 toilets per flat,7.9
Facilities are new. We got a private and big room.  We had our own shower but the toilet was part.  Location was good The kitchen was pretty messy and nobody cleaned,9
Was a very pretty room and really good breakfast! Nothing to complain about! :),10
The best breakfast I have ever seen in a hostel good selection of bread fruits etc..juice machine coffee machine amazing!10 out of 10 ,8.8
It was really cold and the guy in the front desk gave us hot water and we could make some tea. ,8.3
Breakfast was good. WC was outside the room even though they said it had bathroom inside no towels and shower has temporizer no soap or shampoo in the room. ,7
The hostel pays attention to my specific request.  I requested for a lower bed.  They print out a paper reserving my bed in the room. Which makes me feel personalized. Despite the personalization  they have make a SERIOUS  MAJOR mistake..  I booked a bed in a 4 bedded FEMALE ONLY dorm only to find out the next morning that my room mate was a GUY.  Thank God nothing happen to me that night.  Its not about the MONEY here. Its about the safety of your clients!  If i dont mind sharing a room with a guy  i would book a mixed dorm.  Because I dont feel comfortable and safe  i booked a bed in a FEMALE ONLY dorm..  So this kind of error is totally unacceptable.  I dont feel safe and I feel like the property x bother about my safety issue even after I complaint at the reception.,8.3
central location friendly stuff Very dirty. Dusty. Seems like room was not cleaned after previous guest,7.1
space and overall outlook separate sheets,8.8
Very dirty and noisy room. The worst hotel I have ever been to. ,3.3
Really clean. All the furniture has a really good maintenance. The location is great. The food in breakfast is good as well. There are a bar and a outdoor common areas where you can have talks with other people. Also it was the quiet enough to sleep well. Warm days could be a little bit tricky there because there is not a cooler system (no other hostel where Ive been has had though). Coffee could be better.,9.2
Needed a place to stay near the train station and this was great in terms of distance and value. Decent free breakfast Nothing,10
I like basically everything in the Bruegel Hostel. The bed has light and electric outlet for each. The bathroom is clean. There are lockers in the room. And they use card to enter the room which is very safe. Most importantly the breakfast is terrific! Its the best hostel Ive stayed so far! And its only several minutes walk to central station and the Grand Place. All is good only there is a snoring roommate but that is hostel.,10
Is cheap and well located. Good staff. Nice room. Nothing. Everything was good.,7.5
The breakfast was really really really good. So many options including gluten free things.  Bathrooms were pretty dirty and with bad smell.From my room we could hear everything happening on the street til night ,7.5
Staff very helpful breakfast great taxi back to bus prompt with staff helping to call and accomodating due to bathroom shower on the floor being our of order. ventilation - could smell the other guests,7.5
Great location comfortable beds spacious and nice common spaces helpful staff Dorms doors make a lot of noise when they close few fruits selection for breakfast,8
The staffs are really enthusiastic to make your stay happy. The room toiletand shower room are very clean. The hostel itself is very convinient to walk to the Grand Palace. Because I needed to check out very early and would missed out the brrakfast time the staff was so generous to pack me the breakfast on that night. Overall my stay here was really amazing and I wish I could somehow got to extend my stay here :) ,9.6
The receptionist was very welcoming and friendly.The room was very clean and cosy. ,10
Location is in the center of Brussels really close to the Grand Place. Room was really quiet. Place and facilities are definitely clean. You dont get towels I didnt remember it was mentioned on my booking. We get back to ask for them and the reception was closed because it was probably after the hours.,7
personal light and power socket @ur bed good location tasty breakfast ,8
the atmosphere for the breakfast the big spaces the color of the bricks the wide windows internet did not work at all,8.8
Well located hostel. Less than 10 min walking to most of the main attractions. Breakfast is very good it offers a great variety of stuff. The bar downstairs is nice and not pricey at all. We had a private shower but toilets were outside and shared.,9
Nice hostel in a very good location - close to the city center and train station Gare du Midi room is very clean and big enough nice lounge area tasty breakfast and good working wifi. Bathroom is too small especially shower that is not so much comfortable during use.,8.8
Excellent Breakfast. Very clean room. Value for the money. Very near to Bruexel Central station. ,10
The lockers are big and easy to use. The location is great. Right between the old town and the museums/palace. The shower curtains were a bit short in the bathroom but thats not too bad.,10
Very friendly and very helpful staff. Exceptional cleanliness. Also the location is very good just 5 min walk to Manneken Pis and ±7 min to The Grand Place. Rooms with street view are really noisy at night time.,8.3
The location is superb. Walking distance from the Grand Place and there is a beautiful church nearby. Friendly staff who are always smiling and are ready to help. No bathroom in the room as mentioned but thats common and it didnt bother me.,9.6
The staff were amazing. There was an welcoming open area for group activities. Breakfast was superb with a variety of foods and drinks. Nothing.,10
I liked the bedbugs. I didnt like the fact that no wifi was not working. They give vey little water to shower and hot water.The staff is somewhat kind extremely strict like you work for them.Very expensive for what it is.  I did like there was heating in the room and workedBuy a towel that is not new and you will leave it there for sur that you paye for 6euros.lol,3.8
The breakfast was a prefect way to start the morning. Staff were very helpful and informative. Fantastic location for getting around the city. People drinking outside of the building at night made alot of noise. The window had to be kept opened because of the summer heat.,10
Great location - only minutes from the centre.  Friendly and helpful staff. Good breakfast.  Luggage room available if you need to store your suitcase before check-in Theres a bar onsite! Room was really hot and bathroom sink and shower was dirty. The bunk beds werent comfortable.,8.3
Location of this hostel is nice. Staff was welcoming. Breakfast was good. Only 1 shower on the floor for guests.,8.8
Good location staff very cool The price could be a bit lower,9.6
 Beds are to small for tall People. The board at the end of the bed prevents you from sticking your feet out.,7
Great hostel! Very clean spacious room wonderful breakfast included! Very good location close to the Central Station 5mins by walking and the center. Totally recommended!! ,9.6
Very good facilities. Lockers in room. Good sensitive lighting in room. Sockets by each bed. Nice indoor and outdoor communal space. Breakfast was ok. ,7.9
Good location and great facilities Pay extra for towelThere wasnt hand soap in the bathroom ,8.3
The breakfast was of good quality even though not so many choices. The location was great 600m from the center and central station. We got a really noisy room the first 2 nights it was impossible to sleep. After the first night we asked to change it and since they didnt have free rooms they changed our room only for the last night. The rooms could be much cleaner,7.1
Attached shower and toilet for the 2 bed dorm. Good location. The bowls and cutlery at breakfast were not clean enough due to years of usage.,7.1
Location is good staffs are good rooms are clean beds are comfortable plugs are enough for everyone. There are lockers for each guests but you have to put 1$ to lock and when you use it you can get back. Everything was ok. I really recommend it.  Breakfast was a little bit insufficient but it was ok.,9.6
It was a very pleasant stay. Very friendly and multilingual staff Easy check-in and check-out Several minutes walk from the Grand Plaza A nice church right next to it Nice breakfast Wish the Wifi could work better,8.3
Breakfast adequate. Planned to meet people in the bar but it did not open on my Sunday.,9.6
 Quality of the breakfast should be better..,9.6
Superb location spacious room clean bathroom. Beds OK breakfast OK. Not sure why but the staff was a bit.. unfriendly.,8
It was really quiet and comfy I couldnt have choose a better place to stay ,10
Central position good price helpful stuff A bit dirty,9
my room was bright and clean i would have enjoyed a television,8
Smart breakfast clean and comfortable room. Nice location. Great personals. Nothing,10
location is great . not that much clean.,7.5
I liked the en suite shower. Good breakfast nice variety. ,7.5
Stayed for one night. The hostel is much better in person than on the pictures here. The rooms and the shared areas were spic and span. Its also an easy walk from Brussels Central and Grand Palace. The timed lights in the bathroom and shower.,8.8
Location is great! A lot of nice places nearby just walking. The whole place is very clean and tidy. The common areas are confortable. You can leave your belongs there even after the check-out. Plus: the church in front is lovely totally worth it to visit ,8.8
Staff were very friendly and the location is superb The shower didnt have pressure the beds were  extremely uncomfortable and at night it was very cold. ,6.3
Location people nice breakfast amazing staff. Annoying light in bathroom that turns off every 5 seconds.,9.6
